"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",0.4,0.45,0.5,0.5,0.5,0.55,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.85,0.9,0.9,0.9,0.9,0.95,1
"2",0.4,0.4,0.45,0.45,0.5,0.5,0.55,0.55,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.65,0.6,0.65,0.65,0.65
"3",0.5,0.5,0.5,0.5,0.55,0.55,0.6,0.65,0.65,0.7,0.75,0.75,0.75,0.8,0.85,0.85,0.85,0.9,0.95,0.95
"4",0.45,0.4,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.3,0.25,0.25,0.25,0.25,0.25,0.2,0.15,0.15,0.15,0.15
"5",0.35,0.35,0.4,0.45,0.5,0.45,0.45,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35
"6",0.6,0.65,0.7,0.7,0.7,0.7,0.75,0.8,0.8,0.8,0.75,0.75,0.8,0.8,0.85,0.9,0.9,0.95,0.95,0.95
"7",0.55,0.5,0.5,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.95,0.95,0.95
"8",0.45,0.45,0.5,0.5,0.55,0.55,0.55,0.6,0.65,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"9",0.45,0.4,0.4,0.35,0.35,0.3,0.3,0.25,0.25,0.25,0.25,0.2,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.05
"10",0.35,0.35,0.4,0.4,0.4,0.45,0.45,0.4,0.4,0.4,0.4,0.35,0.3,0.3,0.25,0.25,0.25,0.2,0.2,0.2
